"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @talal_alkwauity: #Þםַֹֿ_ַבדַֹׁ_ַב׃Úזֿםֹ 

ו׀ַ ֳזב ַב־םׁ <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> 
#׃Úזֿםו https://t.co/Z67y9BQwKY",FALSE,0,NA,2017-12-17 19:11:58,FALSE,NA,"942472455574212608",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_BO_AZzouZ_",6,TRUE,FALSE,NA,NA
"RT @talal_alkwauity: #Þםַֹֿ_ַבדַֹׁ_ַב׃Úזֿםֹ 

ו׀ַ ֳזב ַב־םׁ <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> 
#׃Úזֿםו https://t.co/Z67y9BQwKY",FALSE,0,NA,2017-12-17 19:07:49,FALSE,NA,"942471411679088640",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","talal_alkwauity",6,TRUE,FALSE,NA,NA
"#Þםַֹֿ_ַבדַֹׁ_ַב׃Úזֿםֹ 

ו׀ַ ֳזב ַב־םׁ <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> 
#׃Úזֿםו https://t.co/Z67y9BQwKY",FALSE,3,NA,2017-12-17 18:20:21,FALSE,NA,"942459465923784708",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","talal_alkwauity",6,FALSE,FALSE,NA,NA
"RT @SaudiNews50: #ַבדׁזׁ:

.
׃םÊד ַ׃Êַָֿב ׁ־ױ #Þםַֹֿ_ַבדֳֹׁ ׃ַׁםֹ ַבדÝÚזב ַבױַֹֿׁ דה ַבֿזב ַב־בםּםֹ ָׁ־ױ ׃Úזֿםֹ דדַֻבֹ .

.
#Þםַֹֿ_ַבדֳֹׁ_ב…",FALSE,0,NA,2017-12-17 17:26:33,FALSE,NA,"942445926462951424",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","WomenDriveGuide",215,TRUE,FALSE,NA,NA
"RT @SaudiNews50: #ַבדׁזׁ:

.
׃םÊד ַ׃Êַָֿב ׁ־ױ #Þםַֹֿ_ַבדֳֹׁ ׃ַׁםֹ ַבדÝÚזב ַבױַֹֿׁ דה ַבֿזב ַב־בםּםֹ ָׁ־ױ ׃Úזֿםֹ דדַֻבֹ .

.
#Þםַֹֿ_ַבדֳֹׁ_ב…",FALSE,0,NA,2017-12-17 16:35:26,FALSE,NA,"942433063191097344",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lloolloo888",215,TRUE,FALSE,NA,NA
"@iam_moon123 בַ
Ýם ׃Úזֿםֹ דֽדֿ ָה Êַׁדָ
ַב׃Úזֿםֹ ÊÊֽזב ֵבל ָֿם ַבֿÚַֹׁ. דהַדֹ ַבדַֹׁ Ýם ׃הֹ
ַב׃םהדַ Ê־Êױׁ
Þםַֹֿ ַבד… https://t.co/zYZAKOpCSa",FALSE,0,"iam_moon123",2017-12-17 16:02:54,TRUE,"942413024706613248","942424875649597440","824680382058618881","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Hmd38852913",0,FALSE,FALSE,NA,NA
"RT @SaudiNews50: #ַבדׁזׁ:

.
׃םÊד ַ׃Êַָֿב ׁ־ױ #Þםַֹֿ_ַבדֳֹׁ ׃ַׁםֹ ַבדÝÚזב ַבױַֹֿׁ דה ַבֿזב ַב־בםּםֹ ָׁ־ױ ׃Úזֿםֹ דדַֻבֹ .

.
#Þםַֹֿ_ַבדֳֹׁ_ב…",FALSE,0,NA,2017-12-17 10:54:38,FALSE,NA,"942347298985730048",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Noni06739262",215,TRUE,FALSE,NA,NA
"@sabqorg הױםֹֽ בßב ׃Úזֿםֹ ÊׁÛָ ָÞםַֹֿ ַהÊָוזַ דה זׁװ ַב׃םַַׁÊ בבַ׃Ý ַßֻׁוד הױַָםה 

#AaAa8 
#Þםַֹֿ_ַבדַֹׁ",FALSE,0,"sabqorg",2017-12-17 09:48:14,FALSE,"942167756832739331","942330587108511745","60327493","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NsNs118",0,FALSE,FALSE,NA,NA
"RT @eyesaudi: ׃Úזֿםֹ ÊÊּזףרב Ýם ַבױהַÚםֹ זÊהÞב בבה׃ֱַ דֿל ַ׃ÊÚַֿֿ ַבזׁװ בÞםַֿÊוה
#Þםַֿו_ַבדֳׁו_בב׃םַׁו 
_ https://t.co/CNV2rKWs8k",FALSE,0,NA,2017-12-17 09:18:58,FALSE,NA,"942323224926478336",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mdar_ksa",6,TRUE,FALSE,NA,NA
"RT @eyesaudi: ׃Úזֿםֹ ÊÊּזףרב Ýם ַבױהַÚםֹ זÊהÞב בבה׃ֱַ דֿל ַ׃ÊÚַֿֿ ַבזׁװ בÞםַֿÊוה
#Þםַֿו_ַבדֳׁו_בב׃םַׁו 
_ https://t.co/CNV2rKWs8k",FALSE,0,NA,2017-12-17 09:06:57,FALSE,NA,"942320198396383233",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mhnews_1",6,TRUE,FALSE,NA,NA
"RT @SaudiNews50: #ַבדׁזׁ:

.
׃םÊד ַ׃Êַָֿב ׁ־ױ #Þםַֹֿ_ַבדֳֹׁ ׃ַׁםֹ ַבדÝÚזב ַבױַֹֿׁ דה ַבֿזב ַב־בםּםֹ ָׁ־ױ ׃Úזֿםֹ דדַֻבֹ .

.
#Þםַֹֿ_ַבדֳֹׁ_ב…",FALSE,0,NA,2017-12-17 07:36:00,FALSE,NA,"942297310553366528",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","faisalsaad99",215,TRUE,FALSE,NA,NA
