,score,text,,,,,,,,,,,,,,,,,,
62,1,"HUGE!    GREAT BURQA DRIVING PROFESSORS - WOMEN ONLY - SAUDI ARABIA - (MEN DO NOT, DO NOT, TRY WEARING BURQA FOR TH… https://t.co/IeGF897SWK",,,,,,,,,,,,,,,,,,
63,0,RT @AlertNet: Saudi women can rev up motorbikes and trucks after driving ban lifted https://t.co/StrLR7tST8 | @HebaKanso reports https://t.…,,,,,,,,,,,,,,,,,,
64,0,GDT Clarifies Regulations And Procedures For Women Driving In Saudi Arabia @motoraty https://t.co/UfJd3Mgyuc,,,,,,,,,,,,,,,,,,
65,0,"GDT Clarifies Regulations And Procedures For Women Driving In Saudi Arabia
https://t.co/VGKcB77W0V https://t.co/lSeAICFWcz",,,,,,,,,,,,,,,,,,
66,0,"GDT Clarifies Regulations And Procedures For Women Driving In Saudi Arabia
https://t.co/iFAIchqcq5 https://t.co/jkCgAQRbkI",,,,,,,,,,,,,,,,,,
67,0,KAU to have driving school for women - Saudi Gazette https://t.co/v0P6DFZVko,,,,,,,,,,,,,,,,,,
68,1,"HUGE!    GREAT BURQA DRIVING PROFESSORS - WOMEN ONLY - SAUDI ARABIA - (MEN DO NOT, DO NOT, TRY WEARING BURQA FOR TH… https://t.co/XCVew96F7s",,,,,,,,,,,,,,,,,,
69,0,RT @amightygirl: Did you know Queen Elizabeth II was a mechanic and army truck driver in WWII? Learn how she made a point about women drivi…,,,,,,,,,,,,,,,,,,
70,1,"HUGE!    GREAT BURQA DRIVING PROFESSORS - WOMEN ONLY - SAUDI ARABIA - (MEN DO NOT, DO NOT, TRY WEARING BURQA FOR TH… https://t.co/aPPzJv0z7s",,,,,,,,,,,,,,,,,,
71,0,RT @amightygirl: Did you know Queen Elizabeth II was a mechanic and army truck driver in WWII? Learn how she made a point about women drivi…,,,,,,,,,,,,,,,,,,
72,0,RT @amightygirl: Did you know Queen Elizabeth II was a mechanic and army truck driver in WWII? Learn how she made a point about women drivi…,,,,,,,,,,,,,,,,,,
73,0,Women Driving Ban Lifted: What Is Happening In Saudi Arabia? https://t.co/8lu6sjGRtA via @YouTube,,,,,,,,,,,,,,,,,,
74,0,RT @amightygirl: Did you know Queen Elizabeth II was a mechanic and army truck driver in WWII? Learn how she made a point about women drivi…,,,,,,,,,,,,,,,,,,
75,0,RT @amightygirl: Did you know Queen Elizabeth II was a mechanic and army truck driver in WWII? Learn how she made a point about women drivi…,,,,,,,,,,,,,,,,,,
76,1,"HUGE!    GREAT BURQA DRIVING PROFESSORS - WOMEN ONLY - SAUDI ARABIA - (MEN DO NOT, DO NOT, TRY WEARING BURQA FOR TH… https://t.co/xLkFRwTVWL",,,,,,,,,,,,,,,,,,
77,1,"HUGE!    GREAT BURQA DRIVING PROFESSORS - WOMEN ONLY - SAUDI ARABIA - (MEN DO NOT, DO NOT, TRY WEARING BURQA FOR TH… https://t.co/IJjQjV7Itc",,,,,,,,,,,,,,,,,,
78,1,RT @CICSaudi: The General Department of Traffic [@eMoroor] answers important questions regarding procedures and regulations about women dri…,,,,,,,,,,,,,,,,,,
79,1,"HUGE!    GREAT BURQA DRIVING PROFESSORS - WOMEN ONLY - SAUDI ARABIA - (MEN DO NOT, DO NOT, TRY WEARING BURQA FOR TH… https://t.co/9knDbfkz58",,,,,,,,,,,,,,,,,,
80,0,RT @amightygirl: Did you know Queen Elizabeth II was a mechanic and army truck driver in WWII? Learn how she made a point about women drivi…,,,,,,,,,,,,,,,,,,
81,0,New post: <U+091C><U+0940><U+0921><U+0940><U+091F><U+0940> <U+0928><U+0947> <U+092C><U+0924><U+093E><U+092F><U+0947> <U+0938><U+090A><U+0926><U+0940> <U+092E><U+0939><U+093F><U+0932><U+093E><U+0913><U+0902> <U+0915><U+0947> <U+0921><U+094D><U+0930><U+093E><U+0907><U+0935><U+093F><U+0902><U+0917> <U+0938><U+092E><U+094D><U+092C><U+0902><U+0927><U+093F><U+0924> <U+0915><U+0941><U+091B> <U+0906><U+0935><U+0936><U+094D><U+092F><U+0915> <U+092C><U+093E><U+0924><U+0947><U+0902> https://t.co/puwW3sIEaI,,,,,,,,,,,,,,,,,,
82,0,KAU to have driving school for women - Saudi Gazette https://t.co/5MfJWZu9Xl,,,,,,,,,,,,,,,,,,
83,0,RT @amightygirl: Did you know Queen Elizabeth II was a mechanic and army truck driver in WWII? Learn how she made a point about women drivi…,,,,,,,,,,,,,,,,,,
84,0,RT @amightygirl: Did you know Queen Elizabeth II was a mechanic and army truck driver in WWII? Learn how she made a point about women drivi…,,,,,,,,,,,,,,,,,,
85,0,RT @amightygirl: Did you know Queen Elizabeth II was a mechanic and army truck driver in WWII? Learn how she made a point about women drivi…,,,,,,,,,,,,,,,,,,
86,0,RT @amightygirl: Did you know Queen Elizabeth II was a mechanic and army truck driver in WWII? Learn how she made a point about women drivi…,,,,,,,,,,,,,,,,,,
87,0,RT @amightygirl: Did you know Queen Elizabeth II was a mechanic and army truck driver in WWII? Learn how she made a point about women drivi…,,,,,,,,,,,,,,,,,,
88,2,I liked a @YouTube video https://t.co/i1KvsvmvVT Saudi women excited to buy cars and start driving,,,,,,,,,,,,,,,,,,
89,1,RT @CICSaudi: The General Department of Traffic [@eMoroor] answers important questions regarding procedures and regulations about women dri…,,,,,,,,,,,,,,,,,,
90,-1,"Saudi still stones women for stealing, prevents them from driving cars, and jails protesters for speaking out against the Government (12)",,,,,,,,,,,,,,,,,,
91,1,"HUGE!    GREAT BURQA DRIVING PROFESSORS - WOMEN ONLY - SAUDI ARABIA - (MEN DO NOT, DO NOT, TRY WEARING BURQA FOR TH… https://t.co/WjUYN5cLFS",,,,,,,,,,,,,,,,,,
92,0,"Saudi women can rev up motorbikes, trucks after driving ban lifted

 Saudi women will not only be allowed to get be… https://t.co/PiaIIHv2K3",,,,,,,,,,,,,,,,,,
93,1,"HUGE!    GREAT BURQA DRIVING PROFESSORS - WOMEN ONLY - SAUDI ARABIA - (MEN DO NOT, DO NOT, TRY WEARING BURQA FOR TH… https://t.co/HzwhXW2RLr",,,,,,,,,,,,,,,,,,
94,0,RT @amightygirl: Did you know Queen Elizabeth II was a mechanic and army truck driver in WWII? Learn how she made a point about women drivi…,,,,,,,,,,,,,,,,,,
95,0,RT @amightygirl: Did you know Queen Elizabeth II was a mechanic and army truck driver in WWII? Learn how she made a point about women drivi…,,,,,,,,,,,,,,,,,,
